,metric_id,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,trial 11,trial 12
81,HOP_LANDING_RFD_Trial_N/s,37750.00000002092,49288.46153848885,20991.525423740448,56114.58333336443,52833.333333362614,11274500.000006251,58780.000000032574,59791.666666699806,61457.4468085447,63565.217391339575,58446.80851067069,62734.04255322626
82,HOP_MEAN_AVERAGE_FORCE_Asym_N,-5.058830220125995,,,,,,,,,,,
83,HOP_MEAN_AVERAGE_FORCE_Left_N,1571.16050391727,,,,,,,,,,,
84,HOP_MEAN_AVERAGE_FORCE_Right_N,1491.6781615384193,,,,,,,,,,,
85,HOP_MEAN_AVERAGE_FORCE_Trial_N,3062.838665455685,,,,,,,,,,,
86,HOP_MEAN_AVERAGE_POWER_Trial_W,4523.360275801795,,,,,,,,,,,
87,HOP_MEAN_CONTACT_TIME_Trial_ms,0.1992,,,,,,,,,,,
88,HOP_MEAN_FLIGHT_TIME_Trial_ms,0.5012000000000001,,,,,,,,,,,
89,HOP_MEAN_IMPULSE_Asym_Ns,-5.015213625644884,,,,,,,,,,,
90,HOP_MEAN_IMPULSE_Left_Ns,316.0959190659727,,,,,,,,,,,
91,HOP_MEAN_IMPULSE_Right_Ns,300.2430334628686,,,,,,,,,,,
92,HOP_MEAN_IMPULSE_Trial_Ns,616.3389525288413,,,,,,,,,,,
93,HOP_MEAN_JUMP_HEIGHT_Trial_cm,30.8298520705,,,,,,,,,,,
94,HOP_MEAN_LANDING_RFD_Asym_N/s,-7.450081247032291,,,,,,,,,,,
95,HOP_MEAN_LANDING_RFD_Left_N/s,31505.36100834309,,,,,,,,,,,
96,HOP_MEAN_LANDING_RFD_Right_N/s,29158.1860160507,,,,,,,,,,,
97,HOP_MEAN_LANDING_RFD_Trial_N/s,60663.54702439378,,,,,,,,,,,
98,HOP_MEAN_PEAK_FORCE_Asym_N,-7.39280272223161,,,,,,,,,,,
99,HOP_MEAN_PEAK_FORCE_Left_N,2998.5126459143967,,,,,,,,,,,
100,HOP_MEAN_PEAK_FORCE_Right_N,2776.838521400778,,,,,,,,,,,
101,HOP_MEAN_PEAK_FORCE_Trial_N,5775.351167315175,,,,,,,,,,,
102,HOP_MEAN_PEAK_POWER_Trial_W,9637.22017687202,,,,,,,,,,,
103,HOP_MEAN_RSI_JH_Trial_RSI_mod,154.64437532562823,,,,,,,,,,,
104,HOP_MEAN_RSI_Trial_,2.515648772588689,,,,,,,,,,,
105,HOP_MEAN_STIFFNESS_Asym_N/m,-7.784257978336387,,,,,,,,,,,
106,HOP_MEAN_STIFFNESS_Left_N/m,18526.492796063198,,,,,,,,,,,
107,HOP_MEAN_STIFFNESS_Right_N/m,17084.342802479732,,,,,,,,,,,
108,HOP_MEAN_STIFFNESS_Trial_N/m,35610.83559854293,,,,,,,,,,,
109,HOP_MEAN_TIME_TO_PEAK_FORCE_Asym_ms,-7.346938775510216,,,,,,,,,,,
110,HOP_MEAN_TIME_TO_PEAK_FORCE_Left_ms,0.098,,,,,,,,,,,
111,HOP_MEAN_TIME_TO_PEAK_FORCE_Right_ms,0.09079999999999999,,,,,,,,,,,
112,HOP_MEAN_TIME_TO_PEAK_FORCE_Trial_ms,0.09519999999999999,,,,,,,,,,,
113,HOP_PEAK_FORCE_Asym_N,7.772513400334343,10.736070949076806,68.71719134999465,2.4856271095751117,-3.966529762783863,88.62302842639865,-5.54750779091918,-6.252680040581013,-8.569588895502491,-6.010698574220753,-2.67025878186944,-15.06063272486055
114,HOP_PEAK_FORCE_Left_N,2246.5126459143967,2430.5126459143967,596.5126459143969,2680.5126459143967,2588.5126459143967,2566.5126459143967,3022.5126459143967,2969.5126459143967,3018.5126459143967,3022.5126459143967,2796.5126459143967,3211.5126459143967
115,HOP_PEAK_FORCE_Right_N,2435.838521400778,2722.838521400778,1906.8385214007783,2748.838521400778,2485.838521400778,22558.83852140078,2854.838521400778,2783.838521400778,2759.838521400778,2840.838521400778,2721.838521400778,2727.838521400778
116,HOP_PEAK_FORCE_Trial_N,4681.351167315175,5144.351167315175,2495.351167315175,5386.351167315175,5071.351167315175,22548.351167315177,5877.351167315175,5739.351167315175,5778.351167315175,5849.351167315175,5496.351167315175,5914.351167315175
117,HOP_PEAK_POWER_Trial_W,7837.028929322157,9243.815408773582,2682.0784168294795,13780.942804752747,12081.006551816165,70433.95085196153,9108.317803836077,8570.093058439543,8319.11330735025,8880.688403778697,10091.927035390474,11535.074582915307
118,HOP_REPEAT_TAKEOFF_Trial_s,16.370000000001806,17.008000000001452,17.694000000001072,18.33200000000072,18.992000000000353,19.61200000000001,20.22199999999967,20.901999999999294,21.59399999999891,22.283999999998528,22.98199999999814,23.70399999999774
119,HOP_RSI_JH_Trial_RSI_mod,96.86162313034187,117.22954275240384,97.98682096874998,127.4472234,107.01026094362743,106.11241056818182,145.30103026785713,147.43654404040402,147.83044156862744,152.9534101546392,160.9052281553398,166.625664009901
120,HOP_RSI_Trial_,1.8376068376068375,2.144230769230769,1.8250000000000002,2.28,2.068627450980392,2.090909090909091,2.4591836734693877,2.4646464646464645,2.4313725490196076,2.536082474226804,2.524271844660194,2.594059405940594
121,HOP_STIFFNESS_Asym_N/m,7.813567024834247,10.719028124460896,69.13673395468899,3.0468298158862406,-4.082426434362243,100.0,-5.547507790919185,-6.463439796073351,-8.569588895502497,-6.345748122355353,-2.6099405445419723,-15.148373460330621
122,HOP_STIFFNESS_Left_N/m,14551.018915498438,20634.029270710496,3588.752515911545,7655.973509985546,7788.5041176738105,-45.07874389168945,13502.415064247656,15077.26143879328,15949.060774213085,19529.68663932981,19911.878994478768,24611.221843466472
123,HOP_STIFFNESS_Right_N/m,15784.338807662034,23111.34034189847,11627.909083383534,7896.568513898903,7470.544166732503,96966.69874017341,12753.367536596272,14102.751722800294,14582.291833169176,18290.381916112656,19392.19079142173,20883.022045467704
124,HOP_STIFFNESS_Trial_N/m,30335.357723160476,43745.36961260897,15216.66159929508,15552.54202388445,15259.048284406315,96921.61999628172,26255.78260084393,29180.01316159358,30531.352607382265,37820.06855544247,39304.0697859005,45494.24388893418
125,HOP_TIME_TO_PEAK_FORCE_Asym_ms,-1.5873015873015885,-9.259259259259254,-10.606060606060606,-11.764705882352951,4.0000000000000036,-97.87234042553192,0.0,-10.000000000000009,0.0,-8.510638297872333,-8.163265306122454,-10.20408163265307
126,HOP_TIME_TO_PEAK_FORCE_Left_ms,0.126,0.108,0.132,0.10200000000000001,0.096,0.094,0.1,0.1,0.094,0.094,0.098,0.098
127,HOP_TIME_TO_PEAK_FORCE_Right_ms,0.124,0.098,0.11800000000000001,0.09,0.1,0.002,0.1,0.09,0.094,0.08600000000000001,0.09,0.088
128,HOP_TIME_TO_PEAK_FORCE_Trial_ms,0.124,0.10400000000000001,0.11800000000000001,0.096,0.096,0.002,0.1,0.096,0.094,0.092,0.094,0.094
129,REPEAT_COUNT_Trial_,12.0,,,,,,,,,,,
130,REPEAT_DURATION_Trial_s,0.663999999999632,0.6539999999996375,0.6779999999996242,0.6559999999996364,0.6259999999996531,0.6119999999996608,0.6779999999996242,0.6859999999996198,0.699999999999612,0.6859999999996198,0.7259999999995976,0.7259999999995976
131,REPEAT_END_Trial_s,16.800000000001567,17.454000000001205,18.13200000000083,18.788000000000466,19.41400000000012,20.02599999999978,20.703999999999404,21.389999999999024,22.089999999998636,22.775999999998255,23.501999999997853,24.22799999999745
132,REPEAT_FATIGUE_WINDOW_Trial_,3.0,,,,,,,,,,,
133,REPEAT_NUMBER_ORDER_Trial_,12.0,10.0,11.0,8.0,7.0,9.0,4.0,2.0,6.0,5.0,1.0,3.0
134,REPEAT_START_Trial_s,16.136000000001935,16.800000000001567,17.454000000001205,18.13200000000083,18.788000000000466,19.41400000000012,20.02599999999978,20.703999999999404,21.389999999999024,22.089999999998636,22.775999999998255,23.501999999997853
135,START_OF_MOVEMENT_THRESHOLD_Trial_N,11.365453854923203,,,,,,,,,,,
136,START_OF_MOVEMENT_Trial_s,14.968000000001668,,,,,,,,,,,
